Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Dietary_Tags,Season,Cooking_Method,Portion_Size
Scrambled Eggs Extra Protein (Extra Large portion),Protein/Dairy,156,9.4,1.5,10.5,0.3,0.3,162,37,Breakfast,250,"low-carb,gluten-free",Winter,Baked,Extra Large
Vegetable Curry with Vegetables (Standard portion),Meal/Vegetable,327,9.2,42.6,14.9,11.3,11.8,360,0,Dinner,500,gluten-free,Summer,Baked,Standard
Whole Wheat Toast with Cheese (Standard portion),Grain,74,3.8,14.2,1,1.8,4.9,60,0,Breakfast,500,gluten-free,Fall,Grilled,Standard
Tuna Salad Light (Large portion),Meal/Fish,230,23.7,2.4,14.4,0.3,0.5,642,153,Lunch,300,"high-protein,low-carb,gluten-free",Fall,Boiled,Large
Beef Steak Mediterranean Style (Small portion),Protein/Meat,202,28.8,0,7,0,0,250,127,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Grilled,Small
Vegetable Curry with Vegetables (Extra Large portion),Meal/Vegetable,494,15.7,60.3,26,7.6,12.9,326,0,Dinner,500,gluten-free,Summer,Roasted,Extra Large
Whole Wheat Toast Mexican Style (Small portion),Grain,51,3,10.1,0.7,2,2.9,185,0,Breakfast,400,gluten-free,All Year,Pan-fried,Small
Avocado Toast Italian Style (Large portion),Meal/Vegetarian,332,9.9,35.3,19,10,10.2,564,0,Breakfast,300,"vegetarian,gluten-free",Spring,Steamed,Large
Almonds Light (Large portion),Nut,222,7.5,8.5,18.7,2.1,3,150,0,Snack,100,"low-carb,gluten-free",All Year,Grilled,Large
Spaghetti Bolognese Low-Carb (Extra Large portion),Meal/Pasta,729,29,82.6,27.9,10.7,24,749,0,Dinner,350,"high-protein,gluten-free",All Year,Baked,Extra Large
Veggie Burger with Cheese (Standard portion),Protein/Vegetarian,123,10.1,10.2,4,2.9,2.7,187,0,Lunch,300,"vegetarian,vegan,gluten-free",Summer,Roasted,Standard
Apple Spicy (Extra Large portion),Fruit,151,0.9,40.2,0.4,9.2,19.9,258,0,Snack,200,gluten-free,Summer,Boiled,Extra Large
Banana with Cheese (Standard portion),Fruit,115,1.2,29.3,0.4,6.7,9.3,276,0,Breakfast,250,gluten-free,Summer,Baked,Standard
Protein Shake with Avocado (Large portion),Supplement,161,33.2,3.7,1.4,1.1,1.4,281,0,Breakfast,250,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Large
Almonds with Vegetables (Extra Large portion),Nut,268,9.6,8.8,24.4,1,2.1,166,0,Snack,0,"low-carb,gluten-free",Fall,Roasted,Extra Large
Protein Shake (Small portion),Supplement,81,17,2.2,0.7,0.5,0.6,81,0,Breakfast,400,"low-carb,gluten-free",Spring,Steamed,Small
Oatmeal Asian Style (Extra Large portion),Grain,134,5.1,21.5,2.2,6.1,8.3,97,0,Breakfast,400,gluten-free,Spring,Steamed,Extra Large
Lentil Soup with Vegetables (Small portion),Meal/Legume,162,10.3,25,2.1,5.3,10.3,388,0,Lunch,250,gluten-free,All Year,Steamed,Small
Banana Italian Style (Small portion),Fruit,68,0.8,20,0.3,2.1,5.3,33,0,Breakfast,350,gluten-free,Summer,Grilled,Small
Tuna Salad (Large portion),Meal/Fish,261,24,2.4,14.4,0.6,0.8,360,33,Lunch,400,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Greek Yogurt Low-Carb (Small portion),Dairy,51,9.6,2.9,1.1,0.8,0.9,196,122,Breakfast,500,"low-carb,gluten-free",Spring,Raw,Small
Whole Wheat Toast Extra Protein (Standard portion),Grain,72,3.9,13,0.9,2.9,6.1,286,0,Breakfast,250,gluten-free,Fall,Roasted,Standard
Avocado Toast Mexican Style (Standard portion),Meal/Vegetarian,278,6.7,30.4,15,3.2,7.2,532,0,Breakfast,400,"vegetarian,gluten-free",Winter,Boiled,Standard
Cottage Cheese with Avocado (Extra Large portion),Dairy,136,19.2,8.4,4.7,2.2,1.9,95,93,Snack,100,"low-carb,gluten-free",Spring,Steamed,Extra Large
Grilled Chicken Salad Mediterranean Style (Standard portion),Meal/Protein,368,31,10.1,19.2,3,3.9,293,174,Lunch,400,"high-protein,gluten-free",Summer,Boiled,Standard
Grilled Chicken Salad Spicy (Extra Large portion),Meal/Protein,546,43.7,17.1,33.1,2.8,5.9,791,27,Lunch,400,"high-protein,gluten-free",Fall,Roasted,Extra Large
Veggie Burger with Avocado (Large portion),Protein/Vegetarian,145,15,13.6,4.8,2.8,3.6,119,0,Lunch,400,"vegetarian,vegan,gluten-free",Spring,Grilled,Large
Scrambled Eggs Low-Carb (Standard portion),Protein/Dairy,90,6.1,1,7.1,0.1,0.5,13,142,Breakfast,400,"low-carb,gluten-free",Summer,Roasted,Standard
Spaghetti Bolognese Asian Style (Standard portion),Meal/Pasta,487,21.2,49.7,17.7,11,11.6,709,0,Dinner,300,"high-protein,gluten-free",All Year,Roasted,Standard
Almonds Mediterranean Style (Small portion),Nut,115,4.2,4.3,10.7,1.2,1.9,184,0,Snack,150,"low-carb,gluten-free",Summer,Boiled,Small
Spaghetti Bolognese with Vegetables (Extra Large portion),Meal/Pasta,721,32.8,92.7,30.1,23,39,224,0,Dinner,250,"high-protein,gluten-free",All Year,Baked,Extra Large
Beef Steak Asian Style (Small portion),Protein/Meat,198,27.5,0,7.7,0,0,230,197,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Roasted,Small
Salmon Spicy (Extra Large portion),Protein/Fish,385,39.1,0,23.1,0,0,240,158,Dinner,500,"high-protein,low-carb,gluten-free",Spring,Baked,Extra Large
Grilled Chicken Salad with Avocado (Standard portion),Meal/Protein,368,32.2,9.2,21.5,2.7,4.1,622,113,Lunch,500,"high-protein,low-carb,gluten-free",Spring,Baked,Standard
Vegetable Curry Light (Extra Large portion),Meal/Vegetable,463,16,64.7,23.4,7.8,26.4,703,0,Dinner,500,gluten-free,Summer,Boiled,Extra Large
Banana Low-Carb (Large portion),Fruit,135,1.6,36.5,0.6,6.1,14.9,166,0,Breakfast,350,gluten-free,Spring,Boiled,Large
Greek Yogurt with Cheese (Large portion),Dairy,95,16.2,5,1.8,1,1.4,32,128,Breakfast,400,"low-carb,gluten-free",Spring,Roasted,Large
Spaghetti Bolognese Asian Style (Standard portion),Meal/Pasta,427,18.2,57,18.3,16.6,16.2,369,0,Dinner,400,gluten-free,Summer,Raw,Standard
Stir Fry Tofu Light (Large portion),Meal/Vegetarian,523,25.5,35.3,28.8,5.4,7.4,316,0,Dinner,400,"high-protein,vegetarian,vegan",Summer,Roasted,Large
Beef Steak Spicy (Large portion),Protein/Meat,380,53,0,13.9,0,0,291,45,Dinner,350,"high-protein,low-carb,gluten-free",Fall,Raw,Large
Salmon with Cheese (Extra Large portion),Protein/Fish,384,37,0,23.5,0,0,287,41,Dinner,500,"high-protein,low-carb,gluten-free",Spring,Boiled,Extra Large
Salmon Extra Protein (Standard portion),Protein/Fish,246,23,0,15,0,0,16,188,Dinner,250,"high-protein,low-carb,gluten-free",Spring,Roasted,Standard
Stir Fry Tofu Italian Style (Large portion),Meal/Vegetarian,482,25.1,35.9,29.7,9.3,17.4,299,0,Dinner,350,"high-protein,vegetarian,vegan",All Year,Grilled,Large
Tuna Salad with Vegetables (Standard portion),Meal/Fish,171,18.8,1.8,11.4,0.4,0.6,786,23,Lunch,350,"low-carb,gluten-free",Summer,Grilled,Standard
Apple Low-Carb (Extra Large portion),Fruit,148,0.8,38.3,0.5,4.4,13.9,174,0,Snack,0,gluten-free,Spring,Baked,Extra Large
Quinoa Bowl with Vegetables (Large portion),Meal/Grain,550,19,64.4,14.7,8.9,26.5,453,0,Lunch,500,gluten-free,Winter,Boiled,Large
Spaghetti Bolognese with Vegetables (Small portion),Meal/Pasta,336,14.9,39.5,11.9,8.6,18,213,0,Dinner,300,gluten-free,Spring,Roasted,Small
Salmon Extra Protein (Small portion),Protein/Fish,171,18.2,0,9.4,0,0,209,50,Dinner,500,"low-carb,gluten-free",Summer,Pan-fried,Small
Beef Steak Mexican Style (Extra Large portion),Protein/Meat,414,62.5,0,17,0,0,27,131,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Extra Large
Protein Bar Light (Standard portion),Supplement/Processed,226,18.8,22.3,7.4,5.3,9,771,0,Snack,150,gluten-free,Summer,Boiled,Standard
Salmon (Extra Large portion),Protein/Fish,338,41,0,23.8,0,0,280,130,Dinner,500,"high-protein,low-carb,gluten-free",All Year,Baked,Extra Large
Protein Shake (Standard portion),Supplement,125,22.8,3.2,1,0.6,1.4,279,0,Breakfast,350,"high-protein,low-carb,gluten-free",Winter,Boiled,Standard
Banana with Vegetables (Large portion),Fruit,146,1.8,34.9,0.5,5.2,15.4,42,0,Breakfast,300,gluten-free,Winter,Roasted,Large
Lentil Soup Extra Protein (Large portion),Meal/Legume,282,19,48.8,3.7,7.5,21.6,255,0,Lunch,400,gluten-free,Winter,Pan-fried,Large
Vegetable Curry Spicy (Small portion),Meal/Vegetable,221,6.7,28.2,10.4,7.9,9.6,597,0,Dinner,400,gluten-free,All Year,Boiled,Small
Spaghetti Bolognese with Cheese (Large portion),Meal/Pasta,583,24.6,78.4,22.7,10.1,30.9,763,0,Dinner,350,"high-protein,gluten-free",Fall,Boiled,Large
Whole Wheat Toast with Vegetables (Large portion),Grain,105,5.7,16.4,1.2,4.8,4.9,226,0,Breakfast,350,gluten-free,Fall,Steamed,Large
Quinoa Bowl Spicy (Standard portion),Meal/Grain,439,15.6,55.6,11.9,5.8,23.4,713,0,Lunch,250,gluten-free,Fall,Raw,Standard
Banana Asian Style (Small portion),Fruit,68,0.9,17.9,0.3,4.1,4.1,183,0,Breakfast,250,gluten-free,Spring,Pan-fried,Small
Vegetable Curry (Standard portion),Meal/Vegetable,311,10.9,39.1,13.5,5.3,11.5,660,0,Dinner,350,gluten-free,Spring,Baked,Standard
Spaghetti Bolognese with Vegetables (Extra Large portion),Meal/Pasta,722,30.1,79.9,27.5,19.4,34.6,454,0,Dinner,250,"high-protein,gluten-free",Spring,Steamed,Extra Large
Avocado Toast with Avocado (Standard portion),Meal/Vegetarian,238,6.7,30.3,14.2,4.4,7.9,775,0,Breakfast,500,"vegetarian,gluten-free",Spring,Boiled,Standard
Grilled Chicken Salad Asian Style (Standard portion),Meal/Protein,324,31.9,10.1,20.2,1.7,2.9,676,193,Lunch,300,"high-protein,gluten-free",Spring,Grilled,Standard
Tuna Salad Mexican Style (Standard portion),Meal/Fish,200,20.2,2.2,11.6,0.4,0.6,207,102,Lunch,500,"high-protein,low-carb,gluten-free",Spring,Baked,Standard
Banana Mexican Style (Standard portion),Fruit,96,1.2,24.8,0.4,6.2,9.6,222,0,Breakfast,500,gluten-free,Summer,Boiled,Standard
Stir Fry Tofu Italian Style (Large portion),Meal/Vegetarian,493,24.6,38.6,28.5,7.2,13.7,728,0,Dinner,300,"high-protein,vegetarian,vegan",Summer,Pan-fried,Large
Cottage Cheese with Cheese (Extra Large portion),Dairy,132,17.9,8.5,4.9,2.3,2.6,234,22,Snack,100,"low-carb,gluten-free",Spring,Grilled,Extra Large
Vegetable Curry with Vegetables (Extra Large portion),Meal/Vegetable,505,16.5,61.3,24,11.3,20.9,221,0,Dinner,500,gluten-free,All Year,Baked,Extra Large
Apple with Cheese (Extra Large portion),Fruit,148,0.8,38.8,0.4,9.9,17.8,36,0,Snack,150,gluten-free,Spring,Roasted,Extra Large
Spaghetti Bolognese with Cheese (Standard portion),Meal/Pasta,469,18,55.3,17.2,14.5,24.3,320,0,Dinner,350,gluten-free,Winter,Steamed,Standard
Oatmeal with Cheese (Extra Large portion),Grain,124,5.1,23.1,2.5,3.8,10.5,262,0,Breakfast,250,gluten-free,Winter,Pan-fried,Extra Large
Avocado Toast Italian Style (Standard portion),Meal/Vegetarian,270,6.9,25.9,14.7,6.9,12.2,374,0,Breakfast,400,"vegetarian,gluten-free",Fall,Roasted,Standard
Apple (Extra Large portion),Fruit,164,0.8,41.8,0.5,4.8,14.1,262,0,Snack,200,gluten-free,Winter,Pan-fried,Extra Large
Beef Steak Italian Style (Extra Large portion),Protein/Meat,441,65.5,0,15.4,0,0,23,76,Dinner,500,"high-protein,low-carb,gluten-free",Spring,Baked,Extra Large
Beef Steak Spicy (Standard portion),Protein/Meat,261,42.8,0,10.5,0,0,52,143,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Standard
Scrambled Eggs Spicy (Extra Large portion),Protein/Dairy,154,9.4,1.7,11.7,0.2,0.7,120,170,Breakfast,250,"low-carb,gluten-free",Winter,Grilled,Extra Large
Veggie Burger with Cheese (Extra Large portion),Protein/Vegetarian,207,19.2,15.8,6.2,3.1,7.4,218,0,Lunch,300,"vegetarian,vegan,gluten-free",Fall,Raw,Extra Large
Scrambled Eggs (Small portion),Protein/Dairy,59,4,0.7,4.7,0.2,0.3,79,97,Breakfast,350,"low-carb,gluten-free",Spring,Baked,Small
Stir Fry Tofu Mexican Style (Extra Large portion),Meal/Vegetarian,594,31.6,51.6,34,9.4,24.9,419,0,Dinner,500,"high-protein,vegetarian,vegan",Winter,Grilled,Extra Large
Lentil Soup Asian Style (Small portion),Meal/Legume,148,11.1,25.4,2.2,6.3,11.3,605,0,Lunch,250,gluten-free,All Year,Steamed,Small
Almonds Light (Large portion),Nut,208,7.2,7.1,19.3,1.9,3,259,0,Snack,150,"low-carb,gluten-free",Winter,Grilled,Large
Chicken Breast Spicy (Standard portion),Protein/Meat,183,34.1,0,3.8,0,0,111,25,Dinner,250,"high-protein,low-carb,gluten-free",Winter,Grilled,Standard
Spaghetti Bolognese (Extra Large portion),Meal/Pasta,672,35,84.3,28,14.2,28.2,228,0,Dinner,300,"high-protein,gluten-free",Fall,Grilled,Extra Large
Protein Shake Italian Style (Large portion),Supplement,171,30.9,3.9,1.2,0.9,1.9,149,0,Breakfast,500,"high-protein,low-carb,gluten-free",Spring,Roasted,Large
Chicken Breast Extra Protein (Small portion),Protein/Meat,132,24.8,0,2.8,0,0,115,31,Dinner,400,"high-protein,low-carb,gluten-free",Fall,Roasted,Small
Stir Fry Tofu Italian Style (Standard portion),Meal/Vegetarian,363,17.6,31,22.6,8.7,8.8,538,0,Dinner,250,"vegetarian,vegan,gluten-free",Spring,Grilled,Standard
Grilled Chicken Salad with Cheese (Extra Large portion),Meal/Protein,549,44.8,14.6,33.1,3.5,5.4,365,149,Lunch,250,"high-protein,gluten-free",Winter,Roasted,Extra Large
Tuna Salad with Avocado (Large portion),Meal/Fish,265,25.4,2.8,14.5,0.4,1.1,750,35,Lunch,500,"high-protein,low-carb,gluten-free",All Year,Steamed,Large
Banana Mediterranean Style (Extra Large portion),Fruit,158,1.9,39.9,0.6,9.4,8,294,0,Breakfast,400,gluten-free,Summer,Raw,Extra Large
Salmon with Vegetables (Standard portion),Protein/Fish,209,23.4,0,13.9,0,0,289,125,Dinner,350,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Standard
Stir Fry Tofu (Large portion),Meal/Vegetarian,473,25.2,37.7,27.4,6.6,10.8,499,0,Dinner,250,"high-protein,vegetarian,vegan",Spring,Roasted,Large
Beef Steak Light (Standard portion),Protein/Meat,270,38.1,0,10.5,0,0,144,33,Dinner,350,"high-protein,low-carb,gluten-free",Winter,Grilled,Standard
Veggie Burger Italian Style (Large portion),Protein/Vegetarian,165,13.1,11.9,5.3,2.2,2.6,238,0,Lunch,250,"vegetarian,vegan,gluten-free",Winter,Grilled,Large
Veggie Burger Italian Style (Standard portion),Protein/Vegetarian,126,10.5,9.1,3.7,1.6,4.4,101,0,Lunch,350,"low-carb,vegetarian,vegan",All Year,Boiled,Standard
Greek Yogurt (Extra Large portion),Dairy,116,18.9,5.9,2.5,1.7,2,76,71,Breakfast,400,"low-carb,gluten-free",All Year,Steamed,Extra Large
Grilled Chicken Salad Mediterranean Style (Extra Large portion),Meal/Protein,557,44.2,14.6,29.8,2.1,4.5,651,66,Lunch,300,"high-protein,gluten-free",Fall,Boiled,Extra Large
Almonds Italian Style (Standard portion),Nut,159,5.5,6.4,13.7,1.6,2.8,201,0,Snack,200,"low-carb,gluten-free",Summer,Grilled,Standard
Salmon Low-Carb (Extra Large portion),Protein/Fish,374,37.8,0,22.7,0,0,36,199,Dinner,300,"high-protein,low-carb,gluten-free",All Year,Grilled,Extra Large
Hummus Italian Style (Small portion),Legume,53,1.3,2.8,3.2,0.7,1,222,0,Snack,150,"low-carb,gluten-free",All Year,Pan-fried,Small
Tuna Salad Low-Carb (Small portion),Meal/Fish,133,14,1.5,8.7,0.4,0.5,673,115,Lunch,400,"low-carb,gluten-free",Spring,Baked,Small
Hummus with Avocado (Large portion),Legume,92,2.6,5.4,7,1.3,1.8,153,0,Snack,0,"low-carb,gluten-free",Spring,Boiled,Large
Salmon High-Fiber (Large portion),Protein/Fish,285,30.1,0,17.8,0,0,274,59,Dinner,500,"high-protein,low-carb,gluten-free",Winter,Raw,Large
Protein Bar with Cheese (Standard portion),Supplement/Processed,207,18.6,23.3,7.6,5,4.7,815,0,Snack,200,gluten-free,Spring,Roasted,Standard
Veggie Burger Light (Large portion),Protein/Vegetarian,144,13.8,13.6,4.7,1.4,6.6,287,0,Lunch,300,"vegetarian,vegan,gluten-free",Summer,Baked,Large
Hummus with Vegetables (Large portion),Legume,83,2.7,5,7,0.6,1.1,196,0,Snack,250,"low-carb,gluten-free",Summer,Baked,Large
Oatmeal Low-Carb (Standard portion),Grain,86,3.1,15.3,1.6,2.7,6.1,288,0,Breakfast,350,gluten-free,Fall,Steamed,Standard
Greek Yogurt Asian Style (Standard portion),Dairy,82,12.8,3.9,1.6,0.7,1.4,259,194,Breakfast,400,"low-carb,gluten-free",All Year,Roasted,Standard
Veggie Burger Mediterranean Style (Large portion),Protein/Vegetarian,168,15.1,14.1,5.4,2.5,4.3,229,0,Lunch,350,"vegetarian,vegan,gluten-free",All Year,Grilled,Large
Hummus Italian Style (Standard portion),Legume,75,2.2,3.8,5.3,0.5,1.1,165,0,Snack,250,"low-carb,gluten-free",Summer,Roasted,Standard
Oatmeal with Cheese (Small portion),Grain,60,2,9.7,1.1,2.8,3.2,38,0,Breakfast,300,"low-carb,gluten-free",Winter,Raw,Small
Beef Steak Italian Style (Standard portion),Protein/Meat,264,38.6,0,9.9,0,0,169,57,Dinner,400,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Standard
Whole Wheat Toast Light (Extra Large portion),Grain,117,6.8,20.3,1.5,3.4,9.4,176,0,Breakfast,350,gluten-free,Winter,Grilled,Extra Large
Avocado Toast Spicy (Standard portion),Meal/Vegetarian,255,6.7,30.2,15.5,4,6.4,720,0,Breakfast,300,"vegetarian,gluten-free",Spring,Baked,Standard
Lentil Soup with Vegetables (Standard portion),Meal/Legume,208,15.7,35.8,2.7,5.3,13.4,719,0,Lunch,300,gluten-free,Fall,Boiled,Standard
Beef Steak Mexican Style (Extra Large portion),Protein/Meat,418,62.2,0,16.5,0,0,55,42,Dinner,250,"high-protein,low-carb,gluten-free",All Year,Grilled,Extra Large
Vegetable Curry Light (Standard portion),Meal/Vegetable,312,11,40.6,14.1,5.6,13.2,520,0,Dinner,400,gluten-free,Fall,Steamed,Standard
Apple Asian Style (Standard portion),Fruit,94,0.5,25.6,0.3,3.9,9.1,174,0,Snack,200,gluten-free,Spring,Boiled,Standard
Spaghetti Bolognese with Vegetables (Extra Large portion),Meal/Pasta,690,33.1,80.1,27.3,14,33.9,526,0,Dinner,350,"high-protein,gluten-free",Summer,Pan-fried,Extra Large
Turkey Sandwich Asian Style (Small portion),Meal/Processed,238,15.7,23.6,9,6.5,10.5,906,196,Lunch,350,gluten-free,Fall,Grilled,Small
Greek Yogurt High-Fiber (Small portion),Dairy,52,8.5,3,1.1,0.6,1.1,128,181,Breakfast,500,"low-carb,gluten-free",Fall,Baked,Small
Oatmeal (Large portion),Grain,107,4,17.7,1.9,3.8,7.7,81,0,Breakfast,500,gluten-free,Winter,Baked,Large
Cottage Cheese High-Fiber (Standard portion),Dairy,83,12.4,5.4,3.2,1,1.9,90,83,Snack,150,"low-carb,gluten-free",Spring,Pan-fried,Standard
Tuna Salad Light (Small portion),Meal/Fish,134,13.6,1.5,8.9,0.4,0.4,727,44,Lunch,300,"low-carb,gluten-free",Spring,Raw,Small
Vegetable Curry (Large portion),Meal/Vegetable,435,13.1,50.7,19.1,7.4,16.6,225,0,Dinner,300,gluten-free,All Year,Raw,Large
Vegetable Curry Light (Standard portion),Meal/Vegetable,345,9.5,41.8,16.3,9.5,13.9,379,0,Dinner,350,gluten-free,Winter,Raw,Standard
Avocado Toast with Avocado (Small portion),Meal/Vegetarian,189,5.1,19,10.6,5.4,4.3,652,0,Breakfast,400,"vegetarian,gluten-free",Summer,Pan-fried,Small
Apple (Standard portion),Fruit,99,0.5,23.2,0.3,4.2,8.8,84,0,Snack,250,gluten-free,Fall,Baked,Standard
Veggie Burger Spicy (Standard portion),Protein/Vegetarian,120,10.9,9.1,4.3,1.8,2.9,253,0,Lunch,300,"low-carb,vegetarian,vegan",Fall,Raw,Standard
Salmon Spicy (Small portion),Protein/Fish,145,18.9,0,10.3,0,0,111,125,Dinner,250,"low-carb,gluten-free",All Year,Steamed,Small
Grilled Chicken Salad (Extra Large portion),Meal/Protein,582,46.1,15.1,30.2,2.9,5.6,383,127,Lunch,250,"high-protein,gluten-free",Fall,Pan-fried,Extra Large
Avocado Toast with Vegetables (Large portion),Meal/Vegetarian,315,9.7,33.7,17.8,4.8,9.9,304,0,Breakfast,250,"vegetarian,gluten-free",Summer,Roasted,Large
Chicken Breast Mediterranean Style (Standard portion),Protein/Meat,174,37,0,3.7,0,0,66,117,Dinner,300,"high-protein,low-carb,gluten-free",Spring,Baked,Standard
Apple Spicy (Extra Large portion),Fruit,137,0.9,41.5,0.5,10.4,12.2,88,0,Snack,250,gluten-free,Spring,Baked,Extra Large
Tuna Salad with Cheese (Large portion),Meal/Fish,246,25.4,2.7,14.4,0.3,1.3,477,76,Lunch,300,"high-protein,low-carb,gluten-free",Summer,Pan-fried,Large
Quinoa Bowl Asian Style (Small portion),Meal/Grain,299,9.5,40.7,9,11.5,17.8,325,0,Lunch,350,gluten-free,Fall,Steamed,Small
Protein Shake Asian Style (Small portion),Supplement,91,16.2,2,0.7,0.4,0.9,216,0,Breakfast,250,"low-carb,gluten-free",Fall,Roasted,Small
Turkey Sandwich Low-Carb (Standard portion),Meal/Processed,366,23.3,32.6,13,5.6,13.1,1065,173,Lunch,350,"high-protein,gluten-free",Summer,Pan-fried,Standard
Lentil Soup Asian Style (Standard portion),Meal/Legume,228,13.8,36.5,3.3,8.9,15.1,304,0,Lunch,500,gluten-free,Fall,Grilled,Standard
Tuna Salad Asian Style (Large portion),Meal/Fish,247,25.3,2.4,15.6,0.5,1,670,40,Lunch,300,"high-protein,low-carb,gluten-free",Spring,Pan-fried,Large
Chicken Breast with Vegetables (Large portion),Protein/Meat,219,43.5,0,5.5,0,0,161,162,Dinner,350,"high-protein,low-carb,gluten-free",Summer,Steamed,Large
Greek Yogurt with Vegetables (Small portion),Dairy,53,8.9,3,1,0.7,1.5,67,179,Breakfast,250,"low-carb,gluten-free",Winter,Roasted,Small
Stir Fry Tofu with Cheese (Large portion),Meal/Vegetarian,557,24.7,41.9,28.3,5.5,19.3,474,0,Dinner,250,"high-protein,vegetarian,vegan",Spring,Pan-fried,Large
Stir Fry Tofu with Vegetables (Large portion),Meal/Vegetarian,478,24.9,39.6,27.1,8.2,17.6,455,0,Dinner,300,"high-protein,vegetarian,vegan",All Year,Pan-fried,Large
Chicken Breast Italian Style (Extra Large portion),Protein/Meat,298,52.3,0,6.2,0,0,2,59,Dinner,350,"high-protein,low-carb,gluten-free",All Year,Grilled,Extra Large
Apple with Avocado (Standard portion),Fruit,100,0.5,23.9,0.3,2.5,11.9,143,0,Snack,250,gluten-free,Fall,Baked,Standard
Veggie Burger with Avocado (Large portion),Protein/Vegetarian,143,13.8,13.2,4.9,3.1,2.8,166,0,Lunch,350,"vegetarian,vegan,gluten-free",Winter,Grilled,Large
Veggie Burger Italian Style (Small portion),Protein/Vegetarian,87,7.6,6.4,2.9,1.5,1.4,3,0,Lunch,300,"low-carb,vegetarian,vegan",Winter,Boiled,Small
Almonds Low-Carb (Standard portion),Nut,155,5.9,6.4,15.3,1.2,2.6,275,0,Snack,250,"low-carb,gluten-free",All Year,Grilled,Standard
Hummus Low-Carb (Extra Large portion),Legume,120,3.3,6.7,8,0.8,2.8,263,0,Snack,250,"low-carb,gluten-free",Winter,Grilled,Extra Large
